"Report_Name","Journal Usage by Access Type"
"Report_ID","TR_J3"
"Release","5"
"Institution_Name","Johnson Matthey"
"Institution_ID","mu-0000036"
"Metric_Types","Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests"
"Report_Filters","Data_Type=Journal; Access_Method=Regular"
"Report_Attributes","Attributes_To_Show=Access_Type; "
"Exceptions",""
"Reporting_Period","2018-01-01 to 2018-05-31"
"Created","2018-07-03"
"Created_By","MPS"

"Title","Publisher","Publisher_ID","Platform","DOI","Proprietary_ID","Print_ISSN","Online_ISSN","URI","Access_Type","Metric_Type","Reporting_Period_Total","Jan-2018","Feb-2018","Mar-2018","Apr-2018","May-2018"
"Journal of Materials Chemistry A","Royal Society of Chemistry","","rsc.org","10.1039/2050-7496/2013","","2050-7488","2050-7496","","Controlled","Total_Item_Investigations","85","0","0","0","48","37"
"Journal of Materials Chemistry A","Royal Society of Chemistry","","rsc.org","10.1039/2050-7496/2013","","2050-7488","2050-7496","","Controlled","Total_Item_Requests","75","0","0","0","41","34"
"Journal of Materials Chemistry A","Royal Society of Chemistry","","rsc.org","10.1039/2050-7496/2013","","2050-7488","2050-7496","","Controlled","Unique_Item_Investigations","76","0","0","0","44","32"
"Journal of Materials Chemistry A","Royal Society of Chemistry","","rsc.org","10.1039/2050-7496/2013","","2050-7488","2050-7496","","Controlled","Unique_Item_Requests","66","0","0","0","37","29"
"Journal of Materials Chemistry B","Royal Society of Chemistry","","rsc.org","10.1039/2050-7518/2013","","2050-750X","2050-7518","","Controlled","Total_Item_Investigations","4","0","0","0","0","4"
"Journal of Materials Chemistry B","Royal Society of Chemistry","","rsc.org","10.1039/2050-7518/2013","","2050-750X","2050-7518","","Controlled","Total_Item_Requests","3","0","0","0","0","3"
"Journal of Materials Chemistry B","Royal Society of Chemistry","","rsc.org","10.1039/2050-7518/2013","","2050-750X","2050-7518","","Controlled","Unique_Item_Investigations","3","0","0","0","0","3"
"Journal of Materials Chemistry B","Royal Society of Chemistry","","rsc.org","10.1039/2050-7518/2013","","2050-750X","2050-7518","","Controlled","Unique_Item_Requests","2","0","0","0","0","2"
"Journal of Materials Chemistry C","Royal Society of Chemistry","","rsc.org","10.1039/2050-7534/2013","","2050-7526","2050-7534","","Controlled","Total_Item_Investigations","7","0","0","0","5","2"
"Journal of Materials Chemistry C","Royal Society of Chemistry","","rsc.org","10.1039/2050-7534/2013","","2050-7526","2050-7534","","Controlled","Total_Item_Requests","7","0","0","0","5","2"
"Journal of Materials Chemistry C","Royal Society of Chemistry","","rsc.org","10.1039/2050-7534/2013","","2050-7526","2050-7534","","Controlled","Unique_Item_Investigations","6","0","0","0","4","2"
"Journal of Materials Chemistry C","Royal Society of Chemistry","","rsc.org","10.1039/2050-7534/2013","","2050-7526","2050-7534","","Controlled","Unique_Item_Requests","6","0","0","0","4","2"
"Journal of the Chemical Society","Royal Society of Chemistry","","rsc.org","","","","0368-1769","","Controlled","Total_Item_Investigations","4","0","0","0","0","4"
"Journal of the Chemical Society","Royal Society of Chemistry","","rsc.org","","","","0368-1769","","Controlled","Total_Item_Requests","1","0","0","0","0","1"
"Journal of the Chemical Society","Royal Society of Chemistry","","rsc.org","","","","0368-1769","","Controlled","Unique_Item_Investigations","4","0","0","0","0","4"
"Journal of the Chemical Society","Royal Society of Chemistry","","rsc.org","","","","0368-1769","","Controlled","Unique_Item_Requests","1","0","0","0","0","1"
"Journal of the Chemical Society (Resumed)","Royal Society of Chemistry","","rsc.org","","","","0368-1769","","Controlled","Total_Item_Investigations","21","0","0","0","9","12"
"Journal of the Chemical Society (Resumed)","Royal Society of Chemistry","","rsc.org","","","","0368-1769","","Controlled","Total_Item_Requests","18","0","0","0","8","10"
"Journal of the Chemical Society (Resumed)","Royal Society of Chemistry","","rsc.org","","","","0368-1769","","Controlled","Unique_Item_Investigations","19","0","0","0","8","11"
"Journal of the Chemical Society (Resumed)","Royal Society of Chemistry","","rsc.org","","","","0368-1769","","Controlled","Unique_Item_Requests","16","0","0","0","7","9"
"Journal of the Chemical Society A: Inorganic, Physical, Theoretical","Royal Society of Chemistry","","rsc.org","","","","0022-4944","","Controlled","Total_Item_Investigations","6","0","0","0","3","3"
"Journal of the Chemical Society A: Inorganic, Physical, Theoretical","Royal Society of Chemistry","","rsc.org","","","","0022-4944","","Controlled","Total_Item_Requests","5","0","0","0","2","3"
"Journal of the Chemical Society A: Inorganic, Physical, Theoretical","Royal Society of Chemistry","","rsc.org","","","","0022-4944","","Controlled","Unique_Item_Investigations","6","0","0","0","3","3"
"Journal of the Chemical Society A: Inorganic, Physical, Theoretical","Royal Society of Chemistry","","rsc.org","","","","0022-4944","","Controlled","Unique_Item_Requests","5","0","0","0","2","3"
"Journal of the Chemical Society C: Organic","Royal Society of Chemistry","","rsc.org","","","","0022-4952","","Controlled","Total_Item_Investigations","2","0","0","0","1","1"
"Journal of the Chemical Society C: Organic","Royal Society of Chemistry","","rsc.org","","","","0022-4952","","Controlled","Total_Item_Requests","2","0","0","0","1","1"
"Journal of the Chemical Society C: Organic","Royal Society of Chemistry","","rsc.org","","","","0022-4952","","Controlled","Unique_Item_Investigations","2","0","0","0","1","1"
"Journal of the Chemical Society C: Organic","Royal Society of Chemistry","","rsc.org","","","","0022-4952","","Controlled","Unique_Item_Requests","2","0","0","0","1","1"
"Journal of the Chemical Society D: Chemical Communications","Royal Society of Chemistry","","rsc.org","","","","0577-6171","","Controlled","Total_Item_Investigations","4","0","0","0","1","3"
"Journal of the Chemical Society D: Chemical Communications","Royal Society of Chemistry","","rsc.org","","","","0577-6171","","Controlled","Total_Item_Requests","3","0","0","0","1","2"
