"Report_Name","Journal Requests by YOP  (Excluding OA_Gold)"
"Report_ID","TR_J4"
"Release","5"
"Institution_Name","Ohio State Univ Libraries"
"Institution_ID","000100077"
"Metric_Types","Total_Item_Requests; Unique_Item_Requests"
"Report_Filters","Data_Type=Journal; Access_Type=Controlled; Access_Method=Regular"
"Report_Attributes",""
"Exceptions",""
"Reporting_Period","2018-01-01 to 2018-05-31"
"Created","2018-07-03"
"Created_By","MPS"

"Title","Publisher","Publisher_ID","Platform","DOI","Proprietary_ID","Print_ISSN","Online_ISSN","URI","YOP","Metric_Type","Reporting_Period_Total","Jan-2018","Feb-2018","Mar-2018","Apr-2018","May-2018"
"Journal of Testing and Evaluation","","","astm.org","10.1520/JTE12236J","","0090-3973","1945-7553","","1999","Total_Item_Requests","1","1","0","0","0","0"
"Journal of Testing and Evaluation","","","astm.org","10.1520/JTE12236J","","0090-3973","1945-7553","","1999","Unique_Item_Requests","1","1","0","0","0","0"
"Journal of Testing and Evaluation","","","astm.org","10.1520/JTE12328J","","0090-3973","1945-7553","","2002","Total_Item_Requests","2","0","0","0","2","0"
"Journal of Testing and Evaluation","","","astm.org","10.1520/JTE12328J","","0090-3973","1945-7553","","2002","Unique_Item_Requests","2","0","0","0","2","0"
"Journal of Testing and Evaluation","","","astm.org","10.1520/JTE12406J","","0090-3973","1945-7553","","2001","Total_Item_Requests","1","0","0","1","0","0"
"Journal of Testing and Evaluation","","","astm.org","10.1520/JTE12406J","","0090-3973","1945-7553","","2001","Unique_Item_Requests","1","0","0","1","0","0"
"Journal of Testing and Evaluation","","","astm.org","10.1520/JTE20130110","","0090-3973","1945-7553","","2014","Total_Item_Requests","1","0","0","1","0","0"
"Journal of Testing and Evaluation","","","astm.org","10.1520/JTE20130110","","0090-3973","1945-7553","","2014","Unique_Item_Requests","1","0","0","1","0","0"
"Journal of Testing and Evaluation","","","astm.org","10.1520/JTE20140138","","0090-3973","1945-7553","","2016","Total_Item_Requests","1","1","0","0","0","0"
"Journal of Testing and Evaluation","","","astm.org","10.1520/JTE20140138","","0090-3973","1945-7553","","2016","Unique_Item_Requests","1","1","0","0","0","0"
"Journal of Testing and Evaluation","","","astm.org","10.1520/JTE20140208","","0090-3973","1945-7553","","2016","Total_Item_Requests","1","0","0","0","0","1"
"Journal of Testing and Evaluation","","","astm.org","10.1520/JTE20140208","","0090-3973","1945-7553","","2016","Unique_Item_Requests","1","0","0","0","0","1"
"Journal of Testing and Evaluation","","","astm.org","10.1520/JTE20140457","","0090-3973","1945-7553","","2016","Total_Item_Requests","1","0","0","1","0","0"
"Journal of Testing and Evaluation","","","astm.org","10.1520/JTE20140457","","0090-3973","1945-7553","","2016","Unique_Item_Requests","1","0","0","1","0","0"
"Journal of Testing and Evaluation","","","astm.org","10.1520/JTE20140474","","0090-3973","1945-7553","","2016","Total_Item_Requests","1","0","0","1","0","0"
"Journal of Testing and Evaluation","","","astm.org","10.1520/JTE20140474","","0090-3973","1945-7553","","2016","Unique_Item_Requests","1","0","0","1","0","0"
"Journal of Testing and Evaluation","","","astm.org","10.1520/JTE20170494","","0090-3973","1945-7553","","2019","Total_Item_Requests","1","0","0","0","1","0"
"Journal of Testing and Evaluation","","","astm.org","10.1520/JTE20170494","","0090-3973","1945-7553","","2019","Unique_Item_Requests","1","0","0","0","1","0"
"Materials Performance and Characterization","","","astm.org","10.1520/MPC20120026","","","2165-3992","","0","Total_Item_Requests","1","0","0","0","0","1"
"Materials Performance and Characterization","","","astm.org","10.1520/MPC20120026","","","2165-3992","","0","Unique_Item_Requests","1","0","0","0","0","1"
"Materials Performance and Characterization","","","astm.org","10.1520/MPC20120039","","","2165-3992","","0","Total_Item_Requests","1","0","0","0","0","1"
"Materials Performance and Characterization","","","astm.org","10.1520/MPC20120039","","","2165-3992","","0","Unique_Item_Requests","1","0","0","0","0","1"
"Materials Performance and Characterization","","","astm.org","10.1520/MPC20120048","","","2165-3992","","0","Total_Item_Requests","1","0","1","0","0","0"
"Materials Performance and Characterization","","","astm.org","10.1520/MPC20120048","","","2165-3992","","0","Unique_Item_Requests","1","0","1","0","0","0"
"Materials Performance and Characterization","","","astm.org","10.1520/MPC20160013","","","2165-3992","","2017","Total_Item_Requests","1","0","0","0","0","1"
"Materials Performance and Characterization","","","astm.org","10.1520/MPC20160013","","","2165-3992","","2017","Unique_Item_Requests","1","0","0","0","0","1"
