"Report_Name"	"Journal Requests (Excluding OA_Gold)"
"Report_ID"	"TR_J1"
"Release"	"5"
"Institution_Name"	"Stanford University"
"Institution_ID"	"rsc:2472"
"Metric_Types"	"Total_Item_Requests; Unique_Item_Requests"
"Report_Filters"	"Data_Type=Journal; Access_Type=Controlled; Access_Method=Regular"
"Report_Attributes"	""
"Exceptions"	""
"Reporting_Period"	"Begin_Date=2018-01-01; End_Date=2018-06-30"
"Created"	"2018-08-22"
"Created_By"	"MPS"

"Title"	"Publisher"	"Publisher_ID"	"Platform"	"DOI"	"Proprietary_ID"	"Print_ISSN"	"Online_ISSN"	"URI"	"Metric_Type"	"Reporting_Period_Total"	"Jan-2018"	"Feb-2018"	"Mar-2018"	"Apr-2018"	"May-2018"	"Jun-2018"
"Integrative Biology"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1757-9708/2009"	""	"1757-9694"	"1757-9708"	""	"Unique_Item_Requests"	"42"	"0"	"0"	"0"	"0"	"0"	"42"
"Annual Reports Section A (Inorganic Chemistry)"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1460-4760/1979"	""	"0260-1818"	"1460-4760"	""	"Total_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Annual Reports Section A (Inorganic Chemistry)"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1460-4760/1979"	""	"0260-1818"	"1460-4760"	""	"Unique_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Journal of the Chemical Society A: Inorganic, Physical, Theoretical"	"Royal Society of Chemistry"	""	"rsc.org"	""	""	""	"0022-4944"	""	"Total_Item_Requests"	"3"	"0"	"0"	"0"	"0"	"0"	"3"
"Journal of the Chemical Society A: Inorganic, Physical, Theoretical"	"Royal Society of Chemistry"	""	"rsc.org"	""	""	""	"0022-4944"	""	"Unique_Item_Requests"	"3"	"0"	"0"	"0"	"0"	"0"	"3"
"Journal of the Chemical Society B: Physical Organic"	"Royal Society of Chemistry"	""	"rsc.org"	""	""	""	"0045-6470"	""	"Total_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Journal of the Chemical Society B: Physical Organic"	"Royal Society of Chemistry"	""	"rsc.org"	""	""	""	"0045-6470"	""	"Unique_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Journal of the Chemical Society C: Organic"	"Royal Society of Chemistry"	""	"rsc.org"	""	""	""	"0022-4952"	""	"Total_Item_Requests"	"7"	"0"	"0"	"0"	"0"	"0"	"7"
"Journal of the Chemical Society C: Organic"	"Royal Society of Chemistry"	""	"rsc.org"	""	""	""	"0022-4952"	""	"Unique_Item_Requests"	"7"	"0"	"0"	"0"	"0"	"0"	"7"
"Journal of Analytical Atomic Spectrometry"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1364-5544/1986"	""	"0267-9477"	"1364-5544"	""	"Total_Item_Requests"	"31"	"0"	"0"	"0"	"0"	"0"	"31"
"Journal of Analytical Atomic Spectrometry"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1364-5544/1986"	""	"0267-9477"	"1364-5544"	""	"Unique_Item_Requests"	"29"	"0"	"0"	"0"	"0"	"0"	"29"
"Journal of Chemical Research"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1364-5560/1997"	""	"0308-2342"	"1364-5560"	""	"Total_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Journal of Chemical Research"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1364-5560/1997"	""	"0308-2342"	"1364-5560"	""	"Unique_Item_Requests"	"1"	"0"	"0"	"0"	"0"	"0"	"1"
"Journal of Materials Chemistry"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1364-5501/1991"	""	"0959-9428"	"1364-5501"	""	"Total_Item_Requests"	"185"	"0"	"0"	"0"	"0"	"0"	"185"
"Journal of Materials Chemistry"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1364-5501/1991"	""	"0959-9428"	"1364-5501"	""	"Unique_Item_Requests"	"152"	"0"	"0"	"0"	"0"	"0"	"152"
"Journal of the Chemical Society (Resumed)"	"Royal Society of Chemistry"	""	"rsc.org"	""	""	""	"0368-1769"	""	"Total_Item_Requests"	"31"	"0"	"0"	"0"	"0"	"0"	"31"
"Journal of the Chemical Society (Resumed)"	"Royal Society of Chemistry"	""	"rsc.org"	""	""	""	"0368-1769"	""	"Unique_Item_Requests"	"29"	"0"	"0"	"0"	"0"	"0"	"29"
"Lab on a Chip"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1473-0189/2001"	""	"1473-0197"	"1473-0189"	""	"Total_Item_Requests"	"577"	"0"	"0"	"0"	"0"	"0"	"577"
"Lab on a Chip"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1473-0189/2001"	""	"1473-0197"	"1473-0189"	""	"Unique_Item_Requests"	"443"	"0"	"0"	"0"	"0"	"0"	"443"
"Molecular BioSystems"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1742-2051/2005"	""	"1742-206X"	"1742-2051"	""	"Total_Item_Requests"	"83"	"0"	"0"	"0"	"0"	"0"	"83"
"Molecular BioSystems"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1742-2051/2005"	""	"1742-206X"	"1742-2051"	""	"Unique_Item_Requests"	"70"	"0"	"0"	"0"	"0"	"0"	"70"
"MedChemComm"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/2040-2511/2010"	""	"2040-2503"	"2040-2511"	""	"Total_Item_Requests"	"30"	"0"	"0"	"0"	"0"	"0"	"30"
"MedChemComm"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/2040-2511/2010"	""	"2040-2503"	"2040-2511"	""	"Unique_Item_Requests"	"25"	"0"	"0"	"0"	"0"	"0"	"25"
"Molecular Systems Design & Engineering"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/2058-9689/2016"	""	""	"2058-9689"	""	"Total_Item_Requests"	"21"	"0"	"0"	"0"	"0"	"0"	"21"
"Molecular Systems Design & Engineering"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/2058-9689/2016"	""	""	"2058-9689"	""	"Unique_Item_Requests"	"20"	"0"	"0"	"0"	"0"	"0"	"20"
"Materials Horizons"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/2051-6355/2013"	""	"2051-6347"	"2051-6355"	""	"Total_Item_Requests"	"48"	"0"	"0"	"0"	"0"	"0"	"48"
"Materials Horizons"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/2051-6355/2013"	""	"2051-6347"	"2051-6355"	""	"Unique_Item_Requests"	"38"	"0"	"0"	"0"	"0"	"0"	"38"
"Molecular Omics"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/2515-4184/2018"	""	""	"2515-4184"	""	"Total_Item_Requests"	"5"	"0"	"0"	"0"	"0"	"0"	"5"
"Molecular Omics"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/2515-4184/2018"	""	""	"2515-4184"	""	"Unique_Item_Requests"	"5"	"0"	"0"	"0"	"0"	"0"	"5"
"Metallomics"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1756-591X/2009"	""	"1756-5901"	"1756-591X"	""	"Total_Item_Requests"	"14"	"0"	"0"	"0"	"0"	"0"	"14"
"Metallomics"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1756-591X/2009"	""	"1756-5901"	"1756-591X"	""	"Unique_Item_Requests"	"11"	"0"	"0"	"0"	"0"	"0"	"11"
"Nanoscale Horizons"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/2055-6764/2016"	""	"2055-6756"	"2055-6764"	""	"Total_Item_Requests"	"12"	"0"	"0"	"0"	"0"	"0"	"12"
"Nanoscale Horizons"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/2055-6764/2016"	""	"2055-6756"	"2055-6764"	""	"Unique_Item_Requests"	"8"	"0"	"0"	"0"	"0"	"0"	"8"
"New Journal of Chemistry"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1369-9261/1998"	""	"1144-0546"	"1369-9261"	""	"Total_Item_Requests"	"93"	"0"	"0"	"0"	"0"	"0"	"93"
"New Journal of Chemistry"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1369-9261/1998"	""	"1144-0546"	"1369-9261"	""	"Unique_Item_Requests"	"68"	"0"	"0"	"0"	"0"	"0"	"68"
"Natural Product Reports"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1460-4752/1984"	""	"0265-0568"	"1460-4752"	""	"Total_Item_Requests"	"98"	"0"	"0"	"0"	"0"	"0"	"98"
"Natural Product Reports"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1460-4752/1984"	""	"0265-0568"	"1460-4752"	""	"Unique_Item_Requests"	"76"	"0"	"0"	"0"	"0"	"0"	"76"
"Nanoscale"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/2040-3372/2009"	""	"2040-3364"	"2040-3372"	""	"Total_Item_Requests"	"527"	"0"	"0"	"0"	"0"	"0"	"527"
"Nanoscale"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/2040-3372/2009"	""	"2040-3364"	"2040-3372"	""	"Unique_Item_Requests"	"423"	"0"	"0"	"0"	"0"	"0"	"423"
"Organic & Biomolecular Chemistry"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1477-0539/2003"	""	"1477-0520"	"1477-0539"	""	"Total_Item_Requests"	"290"	"0"	"0"	"0"	"0"	"0"	"290"
"Organic & Biomolecular Chemistry"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1477-0539/2003"	""	"1477-0520"	"1477-0539"	""	"Unique_Item_Requests"	"209"	"0"	"0"	"0"	"0"	"0"	"209"
"Annual Reports Section B (Organic Chemistry)"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1460-4779/1967"	""	"0069-3030"	"1460-4779"	""	"Total_Item_Requests"	"2"	"0"	"0"	"0"	"0"	"0"	"2"
"Annual Reports Section B (Organic Chemistry)"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1460-4779/1967"	""	"0069-3030"	"1460-4779"	""	"Unique_Item_Requests"	"2"	"0"	"0"	"0"	"0"	"0"	"2"
"Journal of the Chemical Society, Perkin Transactions 1"	"Royal Society of Chemistry"	""	"rsc.org"	""	""	"1364-5463"	"1472-7781"	""	"Total_Item_Requests"	"81"	"0"	"0"	"0"	"0"	"0"	"81"
"Journal of the Chemical Society, Perkin Transactions 1"	"Royal Society of Chemistry"	""	"rsc.org"	""	""	"1364-5463"	"1472-7781"	""	"Unique_Item_Requests"	"71"	"0"	"0"	"0"	"0"	"0"	"71"
"Journal of the Chemical Society, Perkin Transactions 2"	"Royal Society of Chemistry"	""	"rsc.org"	""	""	"1364-5471"	"1472-779X"	""	"Total_Item_Requests"	"43"	"0"	"0"	"0"	"0"	"0"	"43"
"Journal of the Chemical Society, Perkin Transactions 2"	"Royal Society of Chemistry"	""	"rsc.org"	""	""	"1364-5471"	"1472-779X"	""	"Unique_Item_Requests"	"33"	"0"	"0"	"0"	"0"	"0"	"33"
"Annual Reports Section C (Physical Chemistry)"	"Royal Society of Chemistry"	""	"rsc.org"	"10.1039/1460-4787/1979"	""	"0260-1826"	"1460-4787"	""	"Total_Item_Requests"	"2"	"0"	"0"	"0"	"0"	"0"	"2"
